"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"36","Thank you to Kanye West for your nice words. Criminal Justice Reform is now law - passed in a very bipartisan way!",FALSE,117379,NA,2019-01-05 12:17:35,FALSE,NA,"1081525114594832384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21243,FALSE,FALSE,NA,NA
"37","Great new book by Dr. Robert Jeffress, “Choosing the Extraordinary Life.” Get it and enjoy!  @LouDobbs",FALSE,66315,NA,2019-01-05 01:10:43,FALSE,NA,"1081357291914477568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13230,FALSE,FALSE,NA,NA
"38","The story in the New York Times regarding Jim Webb being considered as the next Secretary of Defense is FAKE NEWS.… https://t.co/1wwN10V5Pz",FALSE,104735,NA,2019-01-04 21:45:27,TRUE,NA,"1081305634115674112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23363,FALSE,FALSE,NA,NA
"39","“Job growth surges by 312,000 in December” https://t.co/FCSwxFZjUF",FALSE,81170,NA,2019-01-04 20:36:38,FALSE,NA,"1081288316236967937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19698,FALSE,FALSE,NA,NA
"40","GREAT JOBS NUMBERS JUST ANNOUNCED!",FALSE,148512,NA,2019-01-04 14:39:07,FALSE,NA,"1081198344645554176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",26206,FALSE,FALSE,NA,NA
"41","How do you impeach a president who has won perhaps the greatest election of all time, done nothing wrong (no Collus… https://t.co/kAHlDXEU3X",FALSE,251876,NA,2019-01-04 13:16:20,TRUE,NA,"1081177511592108032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",53480,FALSE,FALSE,NA,NA
"42","As I have stated many times, if the Democrats take over the House or Senate, there will be disruption to the Financ… https://t.co/TdpoTpKce4",FALSE,167901,NA,2019-01-04 13:06:40,TRUE,NA,"1081175076727345152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",36432,FALSE,FALSE,NA,NA
"43","....President Trump deserves a lot of credit, but again, you have the anti-Trump people who are not going to give him a lot of credit.”",FALSE,87320,"realDonaldTrump",2019-01-04 01:19:18,FALSE,"1080997060168552448","1080997061821120512","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16953,FALSE,FALSE,NA,NA
"44","Michael Pillsbury interviewed by @cvpayne: “They have the motive of making the President look bad – instead of Pres… https://t.co/LN0PdWVXca",FALSE,96215,NA,2019-01-04 01:19:17,TRUE,NA,"1080997060168552448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20556,FALSE,FALSE,NA,NA
"45","https://t.co/jsOrDtwdEa",FALSE,119812,NA,2019-01-03 20:25:18,FALSE,NA,"1080923073820282880",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","realDonaldTrump",41329,FALSE,FALSE,NA,NA
"46","The RNC has a great Chairwoman in Ronna McDaniel and the @GOP has never been stronger. We achieved historic wins wi… https://t.co/HvxTc0GyYv",FALSE,90072,NA,2019-01-03 17:40:49,TRUE,NA,"1080881680779542533",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18378,FALSE,FALSE,NA,NA
"47","https://t.co/JzfXMAPwKP",FALSE,202919,NA,2019-01-03 16:10:31,FALSE,NA,"1080858959404240896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",54840,FALSE,FALSE,NA,NA
"48","The United States Treasury has taken in MANY billions of dollars from the Tariffs we are charging China and other c… https://t.co/pPMP10Birv",FALSE,106365,NA,2019-01-03 14:52:13,TRUE,NA,"1080839254656405504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22477,FALSE,FALSE,NA,NA
"49","The Shutdown is only because of the 2020 Presidential Election. The Democrats know they can’t win based on all of t… https://t.co/8CnsuJW3jM",FALSE,129266,NA,2019-01-03 14:44:19,TRUE,NA,"1080837263913832449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",30693,FALSE,FALSE,NA,NA
"50","“MAGA list: 205 ‘historic results’ help Trump make case for 2020 re-election” https://t.co/vtqnUwdhjB",FALSE,68271,NA,2019-01-03 14:36:57,FALSE,NA,"1080835412271222785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18660,FALSE,FALSE,NA,NA
